ID,Group,Tests,TestExecutions,TestExecutionsCoverage,DebuggerUses,Levels,FailedGoldenTests,PassedGoldenTests,Grade,FailedOwnTests,RatioTestFailed,LineCoverage,BranchCoverage,MutationScore,Testing,Main,TestSmells,RatioTestSmells,Notifications,Safety FirstLevel,Check your branchesLevel,Check your classesLevel,Line-by-lineLevel,Check your methodsLevel,Bug FinderLevel,Class Reviewer - BranchesLevel,Class Reviewer - LinesLevel,Class Reviewer - MethodsLevel,Double checkLevel,Shine in new splendourLevel,The Method ExtractorLevel,The Method InlinerLevel,The EponymLevel,Test FixerLevel,Gotta Catch ’Em AllLevel,The DebuggerLevel,Test ExecutorLevel,The TesterLevel,The Tester - AdvancedLevel,Take some breaksLevel,Make Your ChoiceLevel,On the WatchLevel,Break the LineLevel,Break the MethodLevel,Assert and TestedLevel,Safety FirstProgress,Check your branchesProgress,Check your classesProgress,Line-by-lineProgress,Check your methodsProgress,Bug FinderProgress,Class Reviewer - BranchesProgress,Class Reviewer - LinesProgress,Class Reviewer - MethodsProgress,Double checkProgress,Shine in new splendourProgress,The Method ExtractorProgress,The Method InlinerProgress,The EponymProgress,Test FixerProgress,Gotta Catch ’Em AllProgress,The DebuggerProgress,Test ExecutorProgress,The TesterProgress,The Tester - AdvancedProgress,Take some breaksProgress,Make Your ChoiceProgress,On the WatchProgress,Break the LineProgress,Break the MethodProgress,Assert and TestedProgress
11,Control,32,1,0,0,3,1,59,27,0,0,0.956521739130435,0.727272727272727,62.12,1,1,0,0,16,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1
12,Control,0,0,0,0,0,5,51,24,2,0,0.72,0.633333333333333,13.93,0,1,0,0,79,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,111,57,0,8,0,0,8,0,21
13,Control,0,0,0,0,0,22,38,27,2,0,0.870967741935484,0.733333333333333,30.43,0,1,10,0,53,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,9
14,Control,0,0,0,0,0,31,29,24,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
15,Control,0,0,0,0,0,30,26,30,0,0,0.909090909090909,0.727272727272727,20,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0
16,Control,37,47,1,16,12,3,57,27,0,0,0.921052631578947,0.4,56.76,1,0,0,0,89,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,2,0,1,37,0,0,0,0,3,0,0,0,37,0,0,0,0,0,1,16,49,47,0,12,0,0,12,0,22
17,Control,19,22,2,0,6,16,44,21,4,0.210526315789474,0.896551724137931,0.444444444444444,41.24,1,1,0,0,45,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,37,22,0,2,0,0,2,0,23
18,Control,0,0,0,0,0,30,30,27,2,0,0.883720930232558,0.631578947368421,51.11,0,1,0,0,33,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,31,16,0,0,0,0,0,0,19
19,Control,1,0,0,0,0,28,32,27,0,0,0.853658536585366,0.625,37.5,1,1,0,0,42,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,12
20,Control,37,68,0,0,8,4,56,27,0,0,0.932038834951456,0.870588235294118,66.39,1,1,0,0,103,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,37,0,0,0,0,4,0,0,0,37,0,0,0,0,0,0,0,70,68,0,6,0,0,6,0,43
21,Control,2,0,0,0,0,32,28,24,2,1,0.979591836734694,0.848484848484849,65.49,1,1,0,0,79,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,33,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,3,72,49,0,4,0,0,4,0,39
22,Control,24,6,0,0,6,18,42,21,1,0.0416666666666667,0.971830985915493,0.944444444444444,72.6,1,1,0,0,25,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,12,6,0,1,0,0,1,0,9
23,Control,0,0,0,0,0,29,28,24,1,0,0.625,0.181818181818182,6.49,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Control,7,20,0,0,4,19,41,27,1,0.142857142857143,0.692307692307692,0.318181818181818,17.37,1,1,0,0,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,20,20,0,2,0,0,2,0,6
25,Control,2,11,0,0,4,28,32,24,0,0,0.727272727272727,0.181818181818182,9.9,1,1,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,19,12,0,0,0,0,0,0,13
26,Control,7,6,0,0,4,9,45,27,0,0,0.884615384615385,0.5,41.57,1,1,0,0,30,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,19,12,0,0,0,0,0,0,13
27,Control,18,27,0,0,4,7,53,21,2,0.111111111111111,0.886792452830189,0.76,58.14,1,1,0,0,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,36,28,0,0,0,0,0,0,19
28,Control,12,71,0,0,6,15,45,24,1,0.0833333333333333,0.686046511627907,0.235294117647059,8.29,1,0,2,0.166666666666667,98,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,13,0,0,0,0,2,0,0,0,22,0,0,0,0,0,0,0,72,72,0,1,0,0,1,0,28
29,Control,0,0,0,0,0,28,32,27,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
30,Control,1,1,0,0,0,28,26,27,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
31,Control,8,30,1,1,6,27,33,24,1,0.125,0.8,0.64,14.89,1,1,0,0,54,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,1,31,31,0,1,0,0,1,0,5
32,Control,11,47,0,0,7,4,56,30,0,0,0.602941176470588,0.27027027027027,25,1,1,0,0,54,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,12,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,170,47,0,2,0,0,2,0,16
33,Control,1,2,0,0,0,28,32,27,0,0,0.8,0.405405405405405,42.75,1,1,0,0,60,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,11,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,33,33,0,3,0,0,3,0,16
34,Control,1,1,0,0,0,60,0,33,0,0,0.865979381443299,0.728260869565217,6.76,1,1,0,0,89,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,13,0,0,0,0,5,0,0,0,23,0,0,0,0,0,0,1,78,57,0,2,0,0,2,0,47
35,Control,6,14,0,0,4,29,31,21,0,0,0.642857142857143,0.517241379310345,36.04,1,1,0,0,32,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,11,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,27,14,0,0,0,0,0,0,6
36,Control,0,0,0,0,0,28,26,27,0,0,1,0,2.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Control,10,17,0,0,6,23,37,27,2,0.2,0.928571428571429,0.727272727272727,33.33,1,1,0,0,39,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,10,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,23,17,0,2,0,0,2,0,13
38,Control,1,3,0,0,2,32,28,21,1,1,0.890909090909091,0.48,26.36,1,1,0,0,85,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,9,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,57,57,0,3,0,0,3,0,15
